单词 分数
abandon -2.5
abandoning -2.5
abandons -2.5
abortion 0
abridgment -0.5
abridgments -0.5
abridge 0
abridged 0
abridged_version 0
absurd -2.5
accessible 2
afraid -1.5
allegorical 2
allegory 0.5
amaze 2.5
amazed 2.5
amazes 2.5
amazing 2.5
amazingly 3
amuse 2.5
amused 2.5
amusement 2.5
amuses 2.5
amusing 2.5
amusingly 2.5
annoy -2.5
annoyed -2.5
annoying -2.5
annoyingly -2.5
annoys -2.5
appreciate 2.5
appreciated 2.5
appreciates 2.5
appreciating 2.5
apprehend 2
apprehended 2
apprehending 2
apprehends 2
arguably -1.5
arrogance -0.5
arrogant -0.5
aspire 1.5
aspired 1.5
aspires 1.5
aspiring 1.5
audaciously 2
awful -3
awfully -3
banish 0
banished 0
banishes 0
banishing 0
banishment 0
battles 0
beasts 0
beliefs 0.5
beloved 2
bizarre 1.5
Bodhisattva 0
bodhisattva 0
bore -2.5
bored -2.5
bores -2.5
boring -2.5
classical 1.5
Buddha 0.5
buddha 0.5
Buddhism 0.5
buddhism 0.5
buddhist 0.5
Buddhist 0.5
bureaucracy 0
captivate 2
captivated 2
captivates 2
captivating 2
capture 1.5
captured 1.5
captures 1.5
chaos 0
characterise 1
charactersed 1
characterses 1
classic 1.5
classics 1.5
comedic 2.5
comic 2.5
compel 2
compelled 2
compelling 2
compels 2
complex -2
complicate -2.5
complicated -2.5
complicates -2.5
complicating -2.5
condense -1.5
condensed -1.5
condenses -1.5
confucianism 1
Confucianism 1
confuse -2.5
confused -2.5
confuses -2.5
confusing -2.5
confusion -2.5
cool 2
crazy 2
criticism -2
criticize -2
criticized -2
criticizes -2
criticizing -2
death 0
defeat 0
defeated 0
defeats 0
deities 0
delineate 2
delineated 2
delineates 2
delineating 2
demon 0
demons 0
depict 1
depicted 1
depiction 1
depicts 1
devour 2
devoured 2
devouring 2
devours 2
direct -2.5
directly -2.5
disappoint -2.5
disappoint -2.5
disappointed -2.5
disappoints -2.5
disappointing -2.5
dislikeable -2.5
dragon 0
dragons 0
dull -2
edified 1.5
edifies 1.5
edify 1.5
edifying 1.5
edit 0.5
edited 0.5
editing 0.5
edition 0.5
edits 0.5
effectively  2
endlessly -2.5
engage 2
engaged 2
engages 2
engaging 2
enjoy 2
enjoyed 2
enjoying 2
enjoys 2
enlighten 1.5
enlightened 1.5
enlightening 1.5
enlightenment 1.5
enlightens 1.5
entertain 2
entertained 2
entertaining 2
entertains 2
epic 1
episodic -2
error -2.5
errors -2.5
esoteric -2
essentially 2
exhausting -2
expect -0.5
expected -0.5
expecting -0.5
expects -0.5
explain 1.5
explained 1.5
explains 1.5
explanation 1.5
explore 1
explored 1
explores 1
exploring 1
faithful 2
fantastically 2.5
fascinate 2
fascinated 2
fascinates 2
fascinating 2
fight 0
fighting 0
fights 0
flaw -2.5
flawed -2.5
flaws -2.5
footnote 2
footnotes 2
formulaic -2.5
fought 0
frankly -1.5
frustrate -2
frustrated -2
frustrates -2
frustrating -2
funniest 2.5
funny 2.5
funny 2.5
guanyin 0
hardly -2.5
havoc 0
heavily -2.5
heavy -1.5
highly 2.5
hilarious 2.5
hilariously 2.5
humorous 2.5
humorously 2.5
ignore -2
ignored -2
ignores -2
ignoring -2
imprison 0
imprisoned 0
imprisoning 0
imprisonment 0
imprisons 0
innocent 1.5
inspiration 1.5
inspire 1.5
inspired 1.5
inspires 1.5
inspiring 1.5
intellectual 2.5
intellectually 2.5
interestingly 2
intimidate 0
intimidated 0
intimidates 0
intimidating 0
introduce 0.5
introduced 0.5
introduces 0.5
introducing 0.5
introduction  2
magnificent 2.5
lack -2
lacked -2
lacking -2
lacks -2
lengthy -2.5
lightly 2
like 2
liked 2
likes 2
literal -2
literally -2
long -2.5
loosely -2.5
lose -2.5
loses -2.5
losing -2.5
lost -2.5
love 2
loved 2
loves 2
loving 2
magnificently 2.5
magical 1.5
master 2.5
mastered 2.5
masterful 2.5
masterfully 2.5
mastering 2.5
masterpiece 3
masters 2.5
merely -2
miraculously 3
misappropriate -2.5
misappropriated -2.5
misappropriates -2.5
misappropriating -2.5
mischief 1
mischievous 1
miss -2.5
missed -2.5
misses -2.5
missing -2.5
mistake -2.5
mistakes -2.5
monster 0
monsters 0
mythically 2
mythological 1.5
native 1.5
note 2
notes 2
obstacles 0
omission -2
omit -2
omits -2
omitted -2
omitting -2
pilgrim 0.5
pilgrimage 0.5
pilgrims 0.5
pleasantly 2.5
poetic 2.5
poor -3
poorly -3
portray 1
portrayed 1
portrays 1
predictable -2.5
preservation 1.5
preserve 1.5
preserved 1.5
preserves 1.5
preserving 1.5
profoundly 2.5
provoke 1.5
provoked 1.5
provokes 1.5
provoking 1.5
punish 0
punished 0
punishes 0
punishing 0
punishment 0
readable 2
rebel 1
rebelled 1
rebelling 1
rebellious 1
rebellious 1
rebels 1
recommend 2.5
recommended 2.5
recommending 2.5
recommends 2.5
redemption 0
reference 2
referenced 2
references 2
referencing 2
reincarnate 1
reincarnated 1
reincarnates 1
reincarnating 1
religion 0
remarkably 2.5
repeat -2.5
repeated -2.5
repeatedly -2.5
repeating -2.5
repeats -2.5
repetition -2.5
repetitious -2.5
repetitive -2.5
ridiculous -2.5
ridiculously -2.5
rough -2
roughly -1
sadly -1.5
satire 0.5
satisfaction 2
satisfied 2
satisfies 2
satisfy 2
satisfying 2
shorten -1.5
shortened -1.5
shortening -1.5
shortens -1.5
significantly 2.5
skim -2.5
skimmed -2.5
skimming -2.5
skims -2.5
skip -2.5
skipped -2.5
skipping -2.5
skips -2.5
slightly  -0.5
slow -2.5
slow -2.5
slowed -2.5
slowing -2.5
slowly -2.5
slowly -2.5
slows -2.5
sly 1.5
smooth 2.5
smoothly 2.5
solely -2
spiritually 1.5
strange -2
strange -2.5
strangely -2.5
stupid -2.5
successfully 2.5
suffer 0
suffering 0
tame 0
tamed 0
tames 0
taming 0
Taoism 0.5
Taoist 0.5
taoism 0.5
taoist 0.5
taught 1
teach 1
teaches 1
teaching 1
teachings 1
tedious -2
terrible -2.5
terribly -3
tire -2.5
tired -2.5
tires -2.5
tiring -2.5
trap 0
trapped 0
traps 0
trouble 0
unabridged 0.5
undeniably -1.5
understand 2
understandable 2
understanding 2
understands 2
understood 2
unfortunately -2.5
unfortunately -2.5
unique 2.5
weak -1.5
weird -2.5
whimsical 2
wild 1.5
wrong -3
